#entity	document	start	end	text	comment
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17794	35	40	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17794	106	111	Human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17794	1046	1051	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17794	1374	1379	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17794	1646	1652	humans	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17800	255	260	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17810	362	367	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17812	113	118	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17812	311	315	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17812	959	963	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17812	1203	1207	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17812	1368	1372	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17812	1494	1499	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17812	1541	1546	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17816	61	66	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17816	510	515	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17816	684	689	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17816	1170	1175	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17826	1260	1266	humans	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17830	125	130	Human	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17832	36	40	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17832	422	426	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17832	687	691	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17840	72	77	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17840	171	176	human	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17844	1432	1436	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17872	393	398	human	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17872	1018	1021	rat	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17880	1555	1560	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17882	145	149	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17882	549	554	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17882	576	580	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17882	1011	1015	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	23	28	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	43	48	Human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	318	323	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	395	400	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	577	582	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	619	624	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	718	723	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	997	1002	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	1146	1151	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17884	1267	1272	human	
species:ncbi:11082	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17892	172	187	West Nile virus	
species:ncbi:63330	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17892	938	950	Hendra virus	group: 0, valid: true
species:ncbi:121791	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17892	955	966	Nipah virus	group: 0, valid: true
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17892	1065	1071	humans	
species:ncbi:11082	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17892	1683	1698	West Nile virus	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17910	131	135	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17910	311	315	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17910	387	391	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17910	652	656	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17910	856	860	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17910	887	891	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17916	333	348	transgenic mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17916	641	646	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17918	1186	1191	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17920	609	614	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17920	845	850	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17920	1424	1429	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17920	1562	1567	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17922	228	234	humans	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17924	68	72	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17924	178	183	human	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17924	591	595	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17924	755	759	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17924	880	884	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17924	1511	1516	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17926	486	491	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17928	113	116	man	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17936	60	65	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17936	717	722	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17936	827	832	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17936	923	928	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17936	1100	1105	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17936	1232	1237	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17936	1409	1414	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17936	1458	1463	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17936	1640	1645	human	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17944	2192	2196	mice	
species:ncbi:10632	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17962	154	162	JC virus	
species:ncbi:10632	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17962	464	472	JC virus	
species:ncbi:10632	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17962	652	660	JC virus	
species:ncbi:10632	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17962	693	701	JC virus	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17962	1231	1236	human	
species:ncbi:10632	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17962	1361	1369	JC virus	
species:ncbi:10632	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17962	1556	1564	JC virus	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17968	50	55	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17968	549	555	humans	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17972	69	74	human	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17972	306	316	C. elegans	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17972	863	868	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17980	29	34	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17980	1997	2002	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17982	562	567	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17982	1015	1020	mouse	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17982	1031	1036	human	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17984	96	99	rat	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17984	323	327	rats	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17984	339	344	human	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17984	470	474	rats	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17984	683	687	rats	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17984	1533	1538	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17986	304	309	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17988	0	5	Human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17996	17	22	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17996	152	157	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17996	276	281	human	
species:ncbi:119431	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_17998	1115	1124	honeycomb	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	70	75	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	119	134	transgenic mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	427	431	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	443	448	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	639	643	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	782	787	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	1117	1121	mice	group: 0, valid: true
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	1126	1131	human	group: 0, valid: true
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	1223	1227	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18000	1392	1397	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18002	1582	1587	mouse	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18004	250	256	humans	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18006	1301	1306	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18020	167	172	human	
species:ncbi:41568	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18020	747	750	mum	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18020	1372	1377	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18024	246	251	Human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18024	476	481	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18024	1038	1053	transgenic mice	
species:ncbi:9913	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18028	766	770	calf	
species:ncbi:41568	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18030	797	800	mum	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18032	200	205	Human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18034	58	63	mouse	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18034	207	212	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18034	233	248	transgenic mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18034	426	431	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18034	508	513	mouse	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18034	781	786	human	group: 0, valid: true
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18034	791	806	transgenic mice	group: 0, valid: true
species:ncbi:10095	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18038	434	438	mice	
species:ncbi:10095	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18038	481	485	Mice	
species:ncbi:10095	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18038	737	741	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18040	27	32	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18044	31	36	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18050	812	817	human	
species:ncbi:11232	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	0	22	Canine distemper virus	
species:ncbi:8895	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	68	73	swift	
species:ncbi:11232	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	286	308	canine distemper virus	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	310	313	CDV	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	501	504	CDV	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	587	590	CDV	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	682	685	CDV	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	862	865	CDV	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	959	962	CDV	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	1452	1455	CDV	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	1597	1600	CDV	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	1670	1673	CDV	
species:ncbi:11232?0.9015317286652079	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18058	1751	1754	CDV	
species:ncbi:562	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18074	382	398	Escherichia coli	
species:ncbi:10036	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18074	456	471	Syrian hamsters	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18074	1074	1079	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18080	105	110	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18080	536	541	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18080	732	737	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18084	136	141	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_18084	579	583	mice	
